PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original
1914588142,Haiti-Ballade,"Two-Step aus der Posse ""Wie einst im Mai""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Dora, Josefine (SängerIn), https://d-nb.info/gnd/1060065258', 'Kark, Friedrich (DirigentIn), https://d-nb.info/gnd/134875737', 'Kollo, Walter, https://d-nb.info/gnd/300762771']",,ger,1 Schellackplatte (2 Seiten),[Erscheinungsort nicht ermittelbar],[1913],Parlophon-Record,,SPL 633,1833761162
1914898214,Haben wir uns nicht schon mal kenn'n gelernt?,"Walzer-Duett aus der Posse ""Filmzauber"" : Repertoirestück des Berliner Theaters","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Nitter, Erna (SängerIn), https://d-nb.info/gnd/117023523', 'Platen, Karl (SängerIn), https://d-nb.info/gnd/116206659', 'Kollo, Walter, https://d-nb.info/gnd/1068472723']","['Dacapo-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/10160146-3']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1912 oder 1913],Dacapo-Record Company,"Gesungen von Erna Nitter-Götz und Karl Platen, Originalbesetzung des ""Berliner Theaters"", mit Dacapo-Orchester, Berlin | Reproduced in Berlin | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 1 (A-D). Bear Family Records, 2019, S. 421",SPL 3472,1834131812
1870746651,Fascination,Walzer,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Marchetti, Fermo Dante (KomponistIn), https://d-nb.info/gnd/134968832', 'Lincke, Paul, https://d-nb.info/gnd/1302294296', 'Marchetti, Fermo Dante, https://d-nb.info/gnd/1206226595']",,zxx,1 Schellackplatte (2 Seiten),[Berlin],[nach 1908],Zonophone Records,"German | Orchestra | Datierung nach Lotz u. a.: Bilderlexikon der deutschen Schellackplatten. - Holste, 2019",SPL 8515,1815187727
1870694783,Fascination,,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Marchetti, Fermo Dante (KomponistIn), https://d-nb.info/gnd/134968832', 'Lincke, Paul, https://d-nb.info/gnd/1302294296', 'Marchetti, Fermo Dante, https://d-nb.info/gnd/1206226595']",,zxx,1 Schellackplatte (2 Seiten),[Berlin],[nach 1908],Zonophone Records,German | Orchestra | Erscheinungsdatum geschätzt,SPL 11794,1859282768
1870612663,Vive l'amour,Wenn im Lenz die Knospen sprießen,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Wiedecke, Grete (SängerIn), https://d-nb.info/gnd/1146283105', 'Nebe, Carl (SängerIn), https://d-nb.info/gnd/1029802785', 'Lincke, Paul, https://d-nb.info/gnd/1296063763', 'Lincke, Paul, https://d-nb.info/gnd/1307615023']",,ger,1 Schellackplatte (2 Seiten),Berlin,[um 1914?],Deutsche Grammophon-Aktiengesellschaft,Duet w. orch | Bass w. choir and orch | (Apollo-Verlag),SPL 3625,181133007X
1870612396,Von der Heimat weitab,"Finale II. Akt (Grigri-Walzer) aus ""Grigri""","Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Bolten-Baeckers, Heinrich (TextdichterIn), https://d-nb.info/gnd/116035765', 'Chancel, Jules (TextdichterIn), https://d-nb.info/gnd/1026236436', 'Bachrich, Susanne (SängerIn), https://d-nb.info/gnd/1078457506', 'Bockmann, August (SängerIn), https://d-nb.info/gnd/1072013037']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[um 1914?],Deutsche Grammophon Aktiengesellschaft,"Apollo-Verlag | Duet w. orch | soprano w. orch | Erscheinungsdatum geschätzt nach Lotz, R. u.a.: Das Bilderlexikon der deutschen Schellack-Schallplatten, Band 2, Seite 254/255. - Holste, 2019",SPL 4530,1811331068
1870691172,Am Bosporus,"aus ""Halloh! Die große Revue""",,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lehár, Franz (KomponistIn), https://d-nb.info/gnd/118571036', 'Lincke, Paul, https://d-nb.info/gnd/1305845285', 'Lehár, Franz, https://d-nb.info/gnd/1151448192']",,zxx,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[zwischen 1912 und 1914],[Verlag nicht ermittelbar],Erscheinungsdatum nicht ermittelbar. Dieses Label erschien zwischen 1912 und 1914,SPL 9911,1811339689
1870689097,Die grosse Kanone,I. [und] II. Teil,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Stettiner Sänger (SängerIn), https://d-nb.info/gnd/1128928744', 'Büchner-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/1026035090']",ger,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1912 und 1914],Kunst-Record,"Erscheinungsdatum geschätzt nach Lotz, R. u.a.: Das Bilderlexikon der deutschen Schellack-Schallplatten, Band 3, Seite 119. - Holste, 2019",SPL 9061,1869120752
1916013899,"Bubi, mein süßer Bubi!","Lied aus ""Der Juxbaron""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Wolff, Willi (LibrettistIn), https://d-nb.info/gnd/1018050035', 'Freund, Grete (SängerIn), https://d-nb.info/gnd/116781181', 'Kuttner, Max (SängerIn), https://d-nb.info/gnd/134437470']",,ger,1 Schellackplatte (2 Seiten),[S.l.],[1913 oder 1914],Gramophone,"Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Sopran mit Orchester und Duett mit Orchester | Die Aufnahmen basieren auf der Notenausgabe vom Drei-Masken-Verlag",SPL 9999,1847354513
1870694589,Märchen,,,"['Aletter, Wilhelm (KomponistIn), https://d-nb.info/gnd/116284846', 'Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lincke, Paul, https://d-nb.info/gnd/1258981807']",,zxx,1 Schellackplatte (2 Seiten),Berlin,[zwischen 1908 und 1914],Deutsche Grammophon-Aktiengesellschaft,"instrumental duet | Erscheinungsdatum ermittelt-Lotz, R. u.a.: Das Bilderlexikon der deutschen Schellack-Schallplatten, Band 5, Seite 307",SPL 8724,1868941663
