PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,License
187050013X,Pa Pa Pa Pauline,lustiger Dreigesang,,"['Junghähnel, Oscar (KomponistIn), https://d-nb.info/gnd/127663177', 'Lincke, Paul (ArrangeurIn), https://d-nb.info/gnd/118573071', 'Rolla, Charles (KomponistIn), https://d-nb.info/gnd/1309270694', 'Lokay, Erich (InstrumentalmusikerIn), https://d-nb.info/gnd/1309984735', 'Junghähnel, Oscar, https://d-nb.info/gnd/1310105332', 'Rolla, Charles, https://d-nb.info/gnd/1309272174']","['Das Heitere Oberschlesische Funkquartett (SängerIn), https://d-nb.info/gnd/131006959X']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1927],Grammophon,"Deutsch | Quartett | Verlag: Franz Dietrich, Leipzig | Mechanisches Copyright: 1927",SPL 10268,1815254629,Public Domain Mark 1.0
191601139X,"""Angora"" (Sie... und ihre Miezekatz'!)",Shimmy und Samba,,"['Stafford, Frank (KomponistIn), https://d-nb.info/gnd/1203157460', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Schachmeister, Efim (InstrumentalmusikerIn), https://d-nb.info/gnd/1287855644', 'Kollo, Walter, https://d-nb.info/gnd/130912650X']",,zxx,1 Schellackplatte (2 Seiten),[Berlin],[1924],Grammophon,"Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Die Aufnahmen basieren auf den Notenausgaben vom Karl Brüll Verlag, Berlin (Seite A) bzw. dem Verlag Vuvag, Berlin (Seite B)",SPL 8958,1844501469,Public Domain Mark 1.0
1916009697,Der erste Kuß,"aus der großen Revue ""Noch und Noch""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837",,,zxx,1 Schellackplatte (2 Seiten),[S.l.],[1924?],Homocord,Arpád Varosz | Weitere Angaben im Spiegel: A 15 12 24 (Seite 1); A 9 12 24 (Seite 2),SPL 8858,1842026658,Public Domain Mark 1.0
1916007848,Frühlingsträume,"(Was eine Frau im Frühling träumt) : Shimmy-blues a. d. Operette ""Marietta""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837",,,zxx,1 Schellackplatte (2 Seiten),[Berlin],[1924],Odeon,,SPL 8606,1840968168,Public Domain Mark 1.0
1916012914,Küsse mich,"Apachenlied aus ""Drunter und drüber",,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Gallagher, Edward (KomponistIn), https://d-nb.info/gnd/1128345625', 'Shean, Al (KomponistIn), https://d-nb.info/gnd/14091174X', 'Fesca, Jenö (InstrumentalmusikerIn), https://d-nb.info/gnd/1313646377', 'Kollo, Walter, https://d-nb.info/gnd/1280560037', 'Gallagher, Edward, https://d-nb.info/gnd/1128438011']",,zxx,1 Schellackplatte (2 Seiten),[S.l.],[1923 oder 1924?],Homocord,Weitere Angaben im Spiegel: A 26 2 26 (Seite A); A 21 2 24 (Seite B),SPL 9194,1842711687,Public Domain Mark 1.0
1914890841,Küsse mich,"Apachenlied aus der gr. Revue ""Drunter und Drüber""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Kollo, Walter, https://d-nb.info/gnd/1280560037']","['Dajos-Béla-Tanzorchester (InstrumentalmusikerIn), https://d-nb.info/gnd/10147469-6']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1923],Odeon,,SPL 2196,1833839757,Public Domain Mark 1.0
1914889851,Wenn du dich willst mit einer Maid verloben,"Shimmy aus ""Drunter und Drüber""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Weber, Marek (MusikalischeR LeiterIn), https://d-nb.info/gnd/1052923755', 'Kollo, Walter, https://d-nb.info/gnd/1280560037']",,zxx,1 Schellackplatte (2 Seiten),"[Berlin], [Germany]",[1923],Carl Lindström A.-G.,,SPL 1698,1833765532,Public Domain Mark 1.0
1916012264,Lady Chic,Kind wie kann man treu sein : One step,"Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Weber, Marek (AusführendeR), https://d-nb.info/gnd/1052923755', 'Kollo, Walter, https://d-nb.info/gnd/1309121680']",,zxx,1 Schellackplatte (2 Seiten),[Germany],[1922],Carl Lindström AG,,SPL 9164,184306670X,Public Domain Mark 1.0
1870611624,Gratulationsmarsch,,,"['Lindsay-Theimer, John (KomponistIn), https://d-nb.info/gnd/14066632X', 'Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lindsay-Theimer, John, https://d-nb.info/gnd/1305845684', 'Lincke, Paul, https://d-nb.info/gnd/1125893605']","['Beka-Blas-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/126317485X']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1922?],Beka,Erscheinungsdatum anhand des Aufnahmedatums geschätzt,SPL 9910,1811285201,Public Domain Mark 1.0
1916012558,Ich möchte mal,"Foxtrot aus der Operette ""Die Königin der Nacht""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Kollo, Walter, https://d-nb.info/gnd/1308823622']",,zxx,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1921 und 1924],Grammophon,"Die Aufnahmen basieren auf der Notenausgabe vom Kollo-Verlag GmbH, Berlin | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 2 (E-I). Bear Family Records, 2019, S. 265",SPL 9188,1843063123,Public Domain Mark 1.0
