PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,Year
1870694783,Fascination,Nan,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Marchetti, Fermo Dante (Komponistin), Https://D-Nb.Info/Gnd/134968832', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1302294296', 'Marchetti, Fermo Dante, Https://D-Nb.Info/Gnd/1206226595",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Nach 1908,Zonophone Records,German | Orchestra | Erscheinungsdatum Geschätzt,Spl 11794,1859282768,1908
1870612663,Vive L'Amour,Wenn Im Lenz Die Knospen Sprießen,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Wiedecke, Grete (Sängerin), Https://D-Nb.Info/Gnd/1146283105', 'Nebe, Carl (Sängerin), Https://D-Nb.Info/Gnd/1029802785', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1296063763', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307615023",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,Um 1914?,Deutsche Grammophon-Aktiengesellschaft,Duet W. Orch | Bass W. Choir And Orch | (Apollo-Verlag),Spl 3625,181133007X,1914
1870612396,Von Der Heimat Weitab,"Finale Ii. Akt (Grigri-Walzer) Aus ""Grigri","Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Bolten-Baeckers, Heinrich (Textdichterin), Https://D-Nb.Info/Gnd/116035765', 'Chancel, Jules (Textdichterin), Https://D-Nb.Info/Gnd/1026236436', 'Bachrich, Susanne (Sängerin), Https://D-Nb.Info/Gnd/1078457506', 'Bockmann, August (Sängerin), Https://D-Nb.Info/Gnd/1072013037",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,Um 1914?,Deutsche Grammophon Aktiengesellschaft,"Apollo-Verlag | Duet W. Orch | Soprano W. Orch | Erscheinungsdatum Geschätzt Nach Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 2, Seite 254/255. - Holste, 2019",Spl 4530,1811331068,1914
1870691172,Am Bosporus,"Aus ""Halloh! Die Große Revue",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lehár, Franz (Komponistin), Https://D-Nb.Info/Gnd/118571036', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305845285', 'Lehár, Franz, Https://D-Nb.Info/Gnd/1151448192",Nan,Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1912 Und 1914,Verlag Nicht Ermittelbar,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1912 Und 1914,Spl 9911,1811339689,1912
1870691172,Am Bosporus,"Aus ""Halloh! Die Große Revue",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lehár, Franz (Komponistin), Https://D-Nb.Info/Gnd/118571036', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305845285', 'Lehár, Franz, Https://D-Nb.Info/Gnd/1151448192",Nan,Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1912 Und 1914,Verlag Nicht Ermittelbar,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1912 Und 1914,Spl 9911,1811339689,1913
1870691172,Am Bosporus,"Aus ""Halloh! Die Große Revue",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lehár, Franz (Komponistin), Https://D-Nb.Info/Gnd/118571036', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305845285', 'Lehár, Franz, Https://D-Nb.Info/Gnd/1151448192",Nan,Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1912 Und 1914,Verlag Nicht Ermittelbar,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1912 Und 1914,Spl 9911,1811339689,1914
1870689097,Die Grosse Kanone,I. [Und] Ii. Teil,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071",Nan,"Stettiner Sänger (Sängerin), Https://D-Nb.Info/Gnd/1128928744', 'Büchner-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1026035090",Ger,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1912 Und 1914,Kunst-Record,"Erscheinungsdatum Geschätzt Nach Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 3, Seite 119. - Holste, 2019",Spl 9061,1869120752,1912
1870689097,Die Grosse Kanone,I. [Und] Ii. Teil,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071",Nan,"Stettiner Sänger (Sängerin), Https://D-Nb.Info/Gnd/1128928744', 'Büchner-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1026035090",Ger,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1912 Und 1914,Kunst-Record,"Erscheinungsdatum Geschätzt Nach Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 3, Seite 119. - Holste, 2019",Spl 9061,1869120752,1913
1870689097,Die Grosse Kanone,I. [Und] Ii. Teil,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071",Nan,"Stettiner Sänger (Sängerin), Https://D-Nb.Info/Gnd/1128928744', 'Büchner-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1026035090",Ger,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1912 Und 1914,Kunst-Record,"Erscheinungsdatum Geschätzt Nach Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 3, Seite 119. - Holste, 2019",Spl 9061,1869120752,1914
1916013899,"Bubi, Mein Süßer Bubi!","Lied Aus ""Der Juxbaron","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Wolff, Willi (Librettistin), Https://D-Nb.Info/Gnd/1018050035', 'Freund, Grete (Sängerin), Https://D-Nb.Info/Gnd/116781181', 'Kuttner, Max (Sängerin), Https://D-Nb.Info/Gnd/134437470",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1913 Oder 1914,Gramophone,"Hergestellt Von Der Deutschen Grammophon-Aktiengesellschaft, Berlin | Sopran Mit Orchester Und Duett Mit Orchester | Die Aufnahmen Basieren Auf Der Notenausgabe Vom Drei-Masken-Verlag",Spl 9999,1847354513,1913
1916013899,"Bubi, Mein Süßer Bubi!","Lied Aus ""Der Juxbaron","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Wolff, Willi (Librettistin), Https://D-Nb.Info/Gnd/1018050035', 'Freund, Grete (Sängerin), Https://D-Nb.Info/Gnd/116781181', 'Kuttner, Max (Sängerin), Https://D-Nb.Info/Gnd/134437470",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1913 Oder 1914,Gramophone,"Hergestellt Von Der Deutschen Grammophon-Aktiengesellschaft, Berlin | Sopran Mit Orchester Und Duett Mit Orchester | Die Aufnahmen Basieren Auf Der Notenausgabe Vom Drei-Masken-Verlag",Spl 9999,1847354513,1914
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1908
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1909
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1910
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1911
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1912
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1913
1870694589,Märchen,Nan,Nan,"Aletter, Wilhelm (Komponistin), Https://D-Nb.Info/Gnd/116284846', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1258981807",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Zwischen 1908 Und 1914,Deutsche Grammophon-Aktiengesellschaft,"Instrumental Duet | Erscheinungsdatum Ermittelt-Lotz, R. U.A.: Das Bilderlexikon Der Deutschen Schellack-Schallplatten, Band 5, Seite 307",Spl 8724,1868941663,1914
