PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,Year
1870694287,Cora,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Lessing, Madge (Sängerin), Https://D-Nb.Info/Gnd/1061304124', 'Kettner, Martin (Sängerin), Https://D-Nb.Info/Gnd/116151900', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305841042', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307992293",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1909?,Grammophon,"Duet W. Orch. (Cora) | Soprano W. Orch. (Pst, Pst) | Erscheinungsdatum Anhand Des Aufnahmedatums Geschätzt",Spl 3608,181143004X,1909
1870694074,Satyr Und Nymphe,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Freund, Julius (Textdichterin), Https://D-Nb.Info/Gnd/116781343', 'Kettner, Martin (Sängerin), Https://D-Nb.Info/Gnd/116151900', 'Perry, Ida (Sängerin), Https://D-Nb.Info/Gnd/116082739', 'Pfann, Karl (Sängerin), Https://D-Nb.Info/Gnd/127748377', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307617425', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305812999",Nan,Ger,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,1909?,Gramophone Co. (And Sister Ciompanies),Duet With Orchestra | Erscheinungsdatum Anhand Des Aufnahmedatums Geschätzt,Spl 9880,1811430627,1909
1870692918,Walzer-Duett,"I. [Und] Ii. Teil : Aus ""Hallo! Die Große Revue!!!","Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Freund, Julius (Textdichterin), Https://D-Nb.Info/Gnd/116781343', 'Pfann, Karl (Sängerin), Https://D-Nb.Info/Gnd/127748377', 'Perry, Ida (Sängerin), Https://D-Nb.Info/Gnd/116082739', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561",Nan,Ger,1 Schellackplatte (2 Seiten),London,1909?,The Gramophone Co. Ltd. (And Sister Companies),Duet W. Orch,Spl 3645,1811904378,1909
1870692586,Allerseelen,Nan,Nan,"Lassen, Eduard (Komponistin), Https://D-Nb.Info/Gnd/118975773', 'Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Schröter, Erich (Sängerin), Https://D-Nb.Info/Gnd/1107043220', 'Lassen, Eduard, Https://D-Nb.Info/Gnd/1071580698', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307221173",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1910?,Gramophone,"Verlag: Hainauer (Allerseelen), Apollo-Verlag (Der Einzige Sohn) | Tenor W. Orch | Erscheinungsdatum Geschätzt",Spl 8587,1815646756,1910
1915481643,Er Ist Nach Mir Verrückt!,Nan,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Waldoff, Claire (Sängerin), Https://D-Nb.Info/Gnd/118771019', 'Hardt, Ernst (Textdichterin), Https://D-Nb.Info/Gnd/11870155X",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,Ca. 1911,Grammophon,"Komik M. Piano | Die Aufnahmen Basieren Auf Den Notenausgaben Von Bote & Bock (Seite 1) Und Dem Harmonie-Verlag (Seite 2) | Hergestellt Von Der Deutschen Grammophon-Aktiengesellschaft, Berlin | Erscheinungsjahr Ermittelt Nach ""Discogaphie Der Deutschen Kleinkunst"", Lotz Verlag, 1991, Band I, S. 263",Spl 3892,1837011540,1911
1915476321,Nach Meine Beene Is Ja Janz Berlin Verrückt!,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Hardt, Ernst (Textdichterin), Https://D-Nb.Info/Gnd/11870155X', 'Alberts, A. O. (Textdichterin), Https://D-Nb.Info/Gnd/125892136', 'Waldoff, Claire (Sängerin), Https://D-Nb.Info/Gnd/118771019",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1911,Grammophon,"Komik Mit Piano | Hergestellt Von Der Deutschen Grammophon-Aktiengesellschaft, Berlin | Basiert Auf Der Notenausgabe Vom Harmonie-Verlag | Erscheinungsjahr Ermittelt Nach ""Discographie Der Deutschen Kleinkunst"", Lotz Verlag, 1991, Band I, S. 263",Spl 3628,1836529279,1911
1915484529,Das Lied Von Der Mühle,"Aus ""Filmzauber",Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Bredschneider, Willy (Komponistin), Https://D-Nb.Info/Gnd/116469471', 'Meinhard, Carl (Sängerin), Https://D-Nb.Info/Gnd/116863641', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472723",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1912,Gramophone,"Tenor W. Orch | Manufactured By Deutsche Grammophon-Aktiengesellschaft, Berlin | Die Aufnahme Basiert Auf Der Notenausgabe Vom Drei Masken-Verlag",Spl 3934,1837975523,1912
1915478944,Hab'N Wir Uns Nicht Schon Mal Kenn'N Gelernt?,"Walzerduett Aus ""Filmzauber",Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Bredschneider, Willy (Komponistin), Https://D-Nb.Info/Gnd/116469471', 'Weise, Lisa (Sängerin), Https://D-Nb.Info/Gnd/1229609695', 'Sabo, Oscar (Sängerin), Https://D-Nb.Info/Gnd/116713569', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472723",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1912?,Gramophone,"Basiert Auf Der Notenausgabe Vom Drei Masken-Verlag | Manufactured By Deutsche Grammophon-Aktiengesellschaft, Berlin | Duet With Orch",Spl 3786,183654314X,1912
1870691903,Vive L'Amour,"Wenn Im Lenz Die Knospen Sprießen : Aus ""Grigri",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1296063763', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1307228550",Nan,Ger,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,1912?,Zonophone Records,"Die Aufnahmen Basieren Auf Den Notenausgaben Vom Apollo-Verlag (Seite A) Und Dem Drei-Masken-Verlag (Seite B) | Manufactured By Deutsche Grammophon-Aktiengesellschaft, Berlin | Erscheinungsdatum Geschätzt",Spl 8739,1811337961,1912
187074635X,La Gran Via,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Eilenberg, Richard (Komponistin), Https://D-Nb.Info/Gnd/116418893', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1295228661', 'Eilenberg, Richard, Https://D-Nb.Info/Gnd/1295228327","Grosses Dannenberg-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1295227932",Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1908 Und 1912,Jumbo Record,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1908 Und 1912,Spl 6746,1815650796,1908
187074635X,La Gran Via,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Eilenberg, Richard (Komponistin), Https://D-Nb.Info/Gnd/116418893', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1295228661', 'Eilenberg, Richard, Https://D-Nb.Info/Gnd/1295228327","Grosses Dannenberg-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1295227932",Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1908 Und 1912,Jumbo Record,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1908 Und 1912,Spl 6746,1815650796,1909
187074635X,La Gran Via,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Eilenberg, Richard (Komponistin), Https://D-Nb.Info/Gnd/116418893', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1295228661', 'Eilenberg, Richard, Https://D-Nb.Info/Gnd/1295228327","Grosses Dannenberg-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1295227932",Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1908 Und 1912,Jumbo Record,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1908 Und 1912,Spl 6746,1815650796,1910
187074635X,La Gran Via,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Eilenberg, Richard (Komponistin), Https://D-Nb.Info/Gnd/116418893', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1295228661', 'Eilenberg, Richard, Https://D-Nb.Info/Gnd/1295228327","Grosses Dannenberg-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1295227932",Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1908 Und 1912,Jumbo Record,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1908 Und 1912,Spl 6746,1815650796,1911
187074635X,La Gran Via,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Eilenberg, Richard (Komponistin), Https://D-Nb.Info/Gnd/116418893', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1295228661', 'Eilenberg, Richard, Https://D-Nb.Info/Gnd/1295228327","Grosses Dannenberg-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/1295227932",Zxx,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,Zwischen 1908 Und 1912,Jumbo Record,Erscheinungsdatum Nicht Ermittelbar. Dieses Label Erschien Zwischen 1908 Und 1912,Spl 6746,1815650796,1912
1916011772,Immer An Der Wand Lang,Rheinländer,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Kutschera, Alois (Komponistin), Https://D-Nb.Info/Gnd/135300045', 'Weinschütz, Georg (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/103960457",Nan,Zxx,1 Schellackplatte (2 Seiten),S.L.,Zwischen 1909 Und 1912,Jumbo-Record,Nan,Spl 9093,1843070561,1909
1916011772,Immer An Der Wand Lang,Rheinländer,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Kutschera, Alois (Komponistin), Https://D-Nb.Info/Gnd/135300045', 'Weinschütz, Georg (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/103960457",Nan,Zxx,1 Schellackplatte (2 Seiten),S.L.,Zwischen 1909 Und 1912,Jumbo-Record,Nan,Spl 9093,1843070561,1910
